duration_sec,self_knowledge_tdi,self_confidence_avulsion,self_confidence_fracture,edu_status,Resident/Fellow.1,Attending.1,c1_injury_type,c1_treatment,c1_antibiotics,c2_injury_type,c2_treatment,c2_tf_60min,c2_storage_rank,c2_antibiotics,c3_injury_type,c3_treatment,c3_imaging,c3_antibiotics,total_score,random_assignment,group_label,duration_min,self_confidence_mean,specialty,training_level,c1_injury_type_correct,c1_treatment_correct,c1_antibiotics_correct,c2_injury_type_correct,c2_treatment_correct,c2_tf_60min_correct,c2_storage_rank_correct,c2_antibiotics_correct,c3_injury_type_correct,c3_treatment_correct,c3_imaging_correct,c3_antibiotics_correct,n_correct,n_incorrect,n_not_sure,pct_correct_of_attempted
451,3,5,4,Attending,,6-15 years,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Saline>Milk>Tap Water>Air,Antibiotics are not indicated,Complicated crown fracture of a primary incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,7.0,2,No Resource,7.52,4.0,Emergency Medicine,,1,1,1,1,1,1,0,0,0,1,1,0,8,4,0,66.7
683,1,6,6,Medical Student,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,8.0,2,ChatGPT,11.38,4.33,,M4,1,1,1,1,1,1,1,0,1,1,0,0,9,3,0,75.0
178,5,7,6,Resident/Fellow,Fellow,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,Uncomplicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,7.0,2,No Resource,2.97,6.0,Pediatric Emergency Medicine,,1,1,1,1,1,1,1,0,0,1,0,0,8,4,0,66.7
885,3,3,3,Medical Student,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,10.0,2,PDF,14.75,3.0,,M4,1,1,1,1,1,1,1,0,1,1,1,0,10,2,0,83.3
540,1,2,2,Medical Student,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a primary tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Air>Tap Water,Doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Soft tissues of the face,The patient is immunocompromised,6.0,2,ChatGPT,9.0,1.67,,M4,1,1,1,0,1,1,0,0,1,1,0,0,7,5,0,58.3
355,0,1,1,Resident/Fellow,PGY-2,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Extrusion of a primary tooth,I'm not sure,I'm not sure,Milk>Saline>Tap Water>Air,I'm not sure,Uncomplicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Soft tissues of the face,The patient has significant associated soft tissue trauma,5.0,1,No Resource,5.92,0.67,Family Medicine,,1,1,1,0,0,0,1,0,0,1,0,0,5,7,3,41.7
265,0,0,0,Medical Student,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,I'm not sure,I'm not sure,Milk>Saline>Tap Water>Air,I'm not sure,Uncomplicated crown fracture of a permanent incisor,I'm not sure,Soft tissues of the face,All of these are indications for antibiotic therapy,5.0,1,No Resource,4.42,0.0,,M4,1,1,1,1,0,0,1,0,0,0,0,0,5,7,4,41.7
5321,7,9,9,Attending,,25+ years,Permanent tooth avulsion,Re-implant and splint the tooth to the neighboring teeth,Amoxicillin BID for 7 days,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,6.0,1,PDF,88.68,8.33,Emergency Medicine,,0,0,0,1,1,1,1,0,1,1,0,0,6,6,0,50.0
382,7,6,6,Resident/Fellow,Fellow,,Primary tooth avulsion,No treatment needed,I'm not sure,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Saline>Milk>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,7.0,2,ChatGPT,6.37,6.33,Emergency Medicine,,1,1,0,1,1,1,0,0,1,1,0,0,7,5,1,58.3
871,6,7,6,Attending,,6-15 years,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Either amoxicillin or doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,9.0,1,ChatGPT,14.52,6.33,Emergency Medicine,,1,1,1,1,1,1,1,1,1,1,1,0,11,1,0,91.7
384,9,9,10,Attending,,16-25 years,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,The patient is immunocompromised,10.0,2,PDF,6.4,9.33,Pediatric Medicine,,1,1,1,1,1,1,1,0,1,1,1,0,10,2,0,83.3
344,6,6,6,Resident/Fellow,Fellow,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Uncomplicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,8.0,2,No Resource,5.73,6.0,Pediatric Emergency Medicine,,1,1,1,1,1,1,1,0,0,1,0,0,8,4,0,66.7
1069,2,2,1,Resident/Fellow,Fellow,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Rinse the tooth with saline and scrub the root with gauze to remove any residual fibers. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Uncomplicated crown fracture of a permanent incisor,The tooth should be splinted to the neighboring teeth,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,7.0,1,PDF,17.82,1.67,Pediatric Medicine,,1,1,1,1,0,1,1,0,0,0,1,0,7,5,0,58.3
213,2,2,3,Advanced Practice Provider,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Extrusion of a permanent tooth,Rinse the tooth with saline and scrub the root with gauze to remove any residual fibers. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,7.0,1,ChatGPT,3.55,2.33,,,1,1,1,0,0,1,1,0,1,1,1,0,8,4,0,66.7
384,8,8,8,Attending,,25+ years,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Antibiotics are not indicated,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,The patient has an associated tooth root fracture,9.0,2,No Resource,6.4,8.0,Pediatric Medicine,,1,1,1,1,1,1,1,0,1,1,0,1,10,2,0,83.3
6423,8,9,8,Attending,,6-15 years,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Doxycycline BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest,All of these are indications for antibiotic therapy,8.0,1,No Resource,107.05,8.33,Emergency Medicine,,1,1,1,1,1,1,1,0,1,1,0,0,9,3,0,75.0
623,3,3,3,Advanced Practice Provider,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Rinse the tooth with saline and scrub the root with gauze to remove any residual fibers. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,All of these are indications for antibiotic therapy,9.0,1,PDF,10.38,3.0,,,1,1,1,1,0,1,1,0,1,1,1,0,9,3,0,75.0
1534,3,0,0,Advanced Practice Provider,,,Primary tooth avulsion,No treatment needed,Antibiotics are not indicated,Avulsion of a permanent tooth,Gently rinse the root with saline. Re-implant and splint the tooth to the neighboring teeth,False,Milk>Saline>Tap Water>Air,Amoxicillin BID for 7 days,Complicated crown fracture of a permanent incisor,The patient should be sent to a dentist as soon as possible to cover the exposed nerve,Chest and/or soft tissues of the face,The patient has an associated tooth root fracture,11.0,1,ChatGPT,25.57,1.0,,,1,1,1,1,1,1,1,0,1,1,1,1,11,1,0,91.7
